publishedAt,thumbnail_url,channelName,subscribers,views,totalVideos,playlistId,channelId
2017-05-14 13:55:55-07,https://yt3.ggpht.com/-iExfmFHJgNMQfi2doXa2aIKtAHPBfkMSrFuaCEILoVScIRqk_83lZw48IydjwWxZmFHtYNB8A=s88-c-k-c0x00ffffff-no-rj,Domingo Replay,432000,192875519,2500,UUfAV0Lg4IPzZyRQq_Nh-5KA,UCfAV0Lg4IPzZyRQq_Nh-5KA
2011-05-20 09:21:38-07,https://yt3.ggpht.com/6PJ9bTmRDln2vL_TyZV1cpb7GpqkD5ufEbBKwg249yjRpUryA6zyxArzsoFnHpzcMOJLTrGXkYk=s88-c-k-c0x00ffffff-no-rj,FM Scout,194000,51019405,1884,UUJPE-cqo-rFbvOIE-37G09g,UCJPE-cqo-rFbvOIE-37G09g
2020-09-30 04:23:19.409192-07,https://yt3.ggpht.com/OjoBHvM7-r8L7k8R2l95g1eZD-rbLYwbvncRV-U11hWQ8TqPkLbq23s2-sfBAkxw1ohSSXotvQ=s88-c-k-c0x00ffffff-no-rj,Manny Plus,218000,30595588,533,UUVzKJvNg6RAtwAwIJ9tflng,UCVzKJvNg6RAtwAwIJ9tflng
2019-05-08 08:48:00-07,https://yt3.ggpht.com/d3ls2rXQe1emK8imkYDy5mjUX-xfdG0a74Q7YLW1jSvUmmI69EZW19Qpl_wyUPEjoKvXUXyS=s88-c-k-c0x00ffffff-no-rj,Omega Luke,151000,53275870,1126,UUz69o5GpwaZhNy6LAQolDYA,UCz69o5GpwaZhNy6LAQolDYA
2015-04-06 01:25:09-07,https://yt3.ggpht.com/0Em8Sw2v9fcKwgaiDsBa3GLEqtZT2ml_OEiHgnrNEjWnZLVLraPmSGaIjkdaPI75RAM4iSte=s88-c-k-c0x00ffffff-no-rj,Arthur Ray,96800,33566654,3218,UUNL-PktThtkU9V9mUSA6_xw,UCNL-PktThtkU9V9mUSA6_xw
2016-05-18 04:51:28-07,https://yt3.ggpht.com/5-rUgcmzkPPteah6kWQcOBFygQWhLpXPHpmmAqK_ezRSn-NhjTucsUcNfc-nwcwB0BTx9srr1g=s88-c-k-c0x00ffffff-no-rj,ZackNaniTV,161000,29021560,1800,UUuIyhergGAWTG1XBvIfW2PA,UCuIyhergGAWTG1XBvIfW2PA
2017-01-14 04:54:58-08,https://yt3.ggpht.com/nlmHUPqUJgvNjPY4am6BVhjX0X1BXKEvocWlrgtoQ5d8Wq48FGNd4BjMO8ZSYTTm7RrvRoRpdg=s88-c-k-c0x00ffffff-no-rj,TomFM,209000,45489086,1684,UU0B_surYDWjLFNV7Iix3A3Q,UC0B_surYDWjLFNV7Iix3A3Q
2007-02-22 08:16:37-08,https://yt3.ggpht.com/xEGlAuKjfV-e5wNVlhYPg_1MuFxHBjRkKGurHn2I4b75zFkC5YMIK_Tavm8IpmEAYGkbOHFZdA=s88-c-k-c0x00ffffff-no-rj,docks,244000,109585942,5968,UU2DPhH9Q_3Ah1nYqOi2Hm-w,UC2DPhH9Q_3Ah1nYqOi2Hm-w
2013-01-16 03:30:12-08,https://yt3.ggpht.com/sX_B0SxD2GTtGmiuvt3TfKuwS1vpZ6dfZvrBLnGN6s-rIt62YN8QY2jNISYYWJfalu4EoNVODQ=s88-c-k-c0x00ffffff-no-rj,WorkTheSpace,212000,86612482,3277,UUO3AJGFCk2fnB_P6RnwzSog,UCO3AJGFCk2fnB_P6RnwzSog
2014-01-07 04:09:09-08,https://yt3.ggpht.com/bKRVjKdvrEn-9hQJypM3THefPOqoiCeDdvdCqtaK-WC4dtTx626_LzEfc259f4r8aq3qpff6=s88-c-k-c0x00ffffff-no-rj,DK FALCON,158000,13619356,144,UUF3C1Uy2-D6r6d2satSS1og,UCF3C1Uy2-D6r6d2satSS1og
2014-11-07 10:24:59-08,https://yt3.ggpht.com/GOHZUWFNbq5i1pAUI3jdo3WGAm0OS_PJcSXySkZkTrwS4HYh1VDXANrLMJiYsrGVWoZAg16qog=s88-c-k-c0x00ffffff-no-rj,Kırmızı Kep,217000,61963522,2514,UUjfMl4KRZ8dF68VdOsxGkvg,UCjfMl4KRZ8dF68VdOsxGkvg
2017-01-18 08:20:55-08,https://yt3.ggpht.com/pNkRgNfOy650iso8-V2uBAIWovZfVsnlrsB1V_E2t9lYtff2c7WbXR6TfMIZ2-uFi7IsvtYC=s88-c-k-c0x00ffffff-no-rj,Steini,97100,15437700,419,UUumcHQNSdbEdKl-sEr2oVrA,UCumcHQNSdbEdKl-sEr2oVrA
2018-03-29 10:19:27-07,https://yt3.ggpht.com/-54uILLtuNwivHmD7wzGSyaIj_Xbdbzmc_UR5eyOtrOu70Z8-UEJ9gx9luoq4UP0cE9Zpw2L8Q=s88-c-k-c0x00ffffff-no-rj,Zealand Live,91400,22472256,1084,UUavSiAcURaXSWtfOtMonXXw,UCavSiAcURaXSWtfOtMonXXw
2019-07-14 05:14:16-07,https://yt3.ggpht.com/fx5Rth8Zws-CgR61PEQL_2n7YmyHuD0ygMH51imca1N0Uom292Ul0U9y5u93HpRxLkhfDfC-Cg=s88-c-k-c0x00ffffff-no-rj,Ataberk Doğan,233000,18813594,559,UUenmkBehf4szi5V-O6EoMaQ,UCenmkBehf4szi5V-O6EoMaQ
2017-01-21 22:19:40-08,https://yt3.ggpht.com/jc-1z65k7EraaYElvPSSgsAzDn5GmvA9iGpRZhH3f7zuE95nC3xXLLR9OC-3kNUwW8VXX7mOMl8=s88-c-k-c0x00ffffff-no-rj,NickRTFM,880000,419871681,4112,UU7Wyuc7HQXbC70GGqVLl9mQ,UC7Wyuc7HQXbC70GGqVLl9mQ
2015-10-17 14:32:36-07,https://yt3.ggpht.com/l-D79bsO7e6BXYHd3Xkw4dgAIaDS2YmQubqetKu8DNl8hJ24lGdFSSVdm7GLquyjrO8hiFF6D1c=s88-c-k-c0x00ffffff-no-rj,lollujo,190000,75520846,3793,UUTAdC3L4oSqEVrqTtZb_xkg,UCTAdC3L4oSqEVrqTtZb_xkg
2014-08-04 09:27:05-07,https://yt3.ggpht.com/KR8uKHeRO-qpK0FP1zWzAUlDe0L_vkEslFu-PoM2YUrdRhxumWZLISABUO90cf7AYE3Cua1x=s88-c-k-c0x00ffffff-no-rj,DoctorBenjy FM,113000,53426062,2465,UUCeR7BtDUauD9jlVT67epTg,UCCeR7BtDUauD9jlVT67epTg
2011-12-04 15:06:29-08,https://yt3.ggpht.com/Wu83242-ahxoOZWuh6K7sxBg-HbdOaTR0e3Tpgixnyywqe0uZ0tFY9z50atkEYw-EriZw0v4wQ=s88-c-k-c0x00ffffff-no-rj,Nick28T,575000,187117504,4355,UUop_nyUWPXbyCLWSGfnPLSg,UCop_nyUWPXbyCLWSGfnPLSg
2011-07-25 11:02:46-07,https://yt3.ggpht.com/ytc/AIdro_k9KK3Rau_nbJwT4YcWejh9oU8I_SDteSjVOmugbODCuws=s88-c-k-c0x00ffffff-no-rj,Zealand,372000,99285918,678,UU0sHHy5A8VUTHE_ysXeCO2Q,UC0sHHy5A8VUTHE_ysXeCO2Q
2009-05-06 07:53:32-07,https://yt3.ggpht.com/_1iGNPVrB8g8oN4UMYBd4IF0ETQ-TQudGlHW42eAjaiCAchsZzhGfulKnA9hVw-dqTE5WyC-iw=s88-c-k-c0x00ffffff-no-rj,Seals 311,97600,20829505,2528,UUq-9OD1pdQQ7e-ma1C_Iz9g,UCq-9OD1pdQQ7e-ma1C_Iz9g
